# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-05-22
#
# GRDC-No.:              1160320
# River:                 DORINGRIVIER
# Station:               ELANDS DRIFT - ASPOORT (27712202)
# Country:               --
# Latitude (DD):       -32.502778
# Longitude (DD):      19.535
# Catchment area (km²):      
# Altitude (m ASL):        389.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: South Africa - Department of Water and Sanitation (DWA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1923 - 2022
# No. of years:          100
# Last update:           2022-10-17
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 1191
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1953-09-01;--:--;     10.283;     10.283; 100
1953-10-01;--:--;      1.767;      1.767; 100
1953-11-01;--:--;      3.341;      3.342; 100
1953-12-01;--:--;      6.191;      6.191; 100
1954-01-01;--:--;      0.329;      0.329; 100
1954-02-01;--:--;      0.167;      0.167; 100
1954-03-01;--:--;      0.248;      0.248; 100
1954-04-01;--:--;      5.332;      5.332; 100
1954-05-01;--:--;     47.357;     47.357; 100
1954-06-01;--:--;     22.243;     22.243; 100
1954-07-01;--:--;     74.289;     74.289; 100
1954-08-01;--:--;     53.438;     53.438; 100
1954-09-01;--:--;     25.012;     25.012; 100
1954-10-01;--:--;      7.284;      7.284; 100
1954-11-01;--:--;      2.717;      2.718; 100
1954-12-01;--:--;      1.526;      1.526; 100
1955-01-01;--:--;      0.269;      0.269; 100
1955-02-01;--:--;      2.338;      2.338; 100
1955-03-01;--:--;      1.156;      1.156; 100
1955-04-01;--:--;      3.021;      3.021; 100
1955-05-01;--:--;      3.074;      3.074; 100
1955-06-01;--:--;     22.981;     22.981; 100
1955-07-01;--:--;     52.411;     52.411; 100
1955-08-01;--:--;     60.637;     60.637; 100
1955-09-01;--:--;     21.575;     21.575; 100
1955-10-01;--:--;     14.999;     14.999; 100
1955-11-01;--:--;      7.958;      7.958; 100
1955-12-01;--:--;      5.996;      5.996; 100
1956-01-01;--:--;      1.901;      1.901; 100
1956-02-01;--:--;      0.305;      0.305; 100
1956-03-01;--:--;      2.374;      2.374; 100
1956-04-01;--:--;      0.741;      0.742; 100
1956-05-01;--:--;      5.281;      5.281; 100
1956-06-01;--:--;     19.647;     19.647; 100
1956-07-01;--:--;     37.566;     37.566; 100
1956-08-01;--:--;     38.735;     38.735; 100
1956-09-01;--:--;     10.652;     10.652; 100
1956-10-01;--:--;      3.071;      3.071; 100
1956-11-01;--:--;      1.346;      1.346; 100
1956-12-01;--:--;      0.401;      0.401; 100
1957-01-01;--:--;      0.193;      0.193; 100
1957-02-01;--:--;      4.310;      4.310; 100
1957-03-01;--:--;      1.188;      1.188; 100
1957-04-01;--:--;      1.107;      1.107; 100
1957-05-01;--:--;      9.990;      9.990; 100
1957-06-01;--:--;     73.827;     73.827; 100
1957-07-01;--:--;     57.301;     57.301; 100
1957-08-01;--:--;     54.614;     54.614; 100
1957-09-01;--:--;     15.926;     15.926; 100
1957-10-01;--:--;     29.951;     29.951; 100
1957-11-01;--:--;      5.435;      5.435; 100
1957-12-01;--:--;      0.812;      0.812; 100
1958-01-01;--:--;      0.979;      0.979; 100
1958-02-01;--:--;      0.419;      0.419; 100
1958-03-01;--:--;      0.496;      0.496; 100
1958-04-01;--:--;      2.431;      2.431; 100
1958-05-01;--:--;      4.545;      4.545; 100
1958-06-01;--:--;     20.404;     20.404; 100
1958-07-01;--:--;      4.464;      4.464; 100
1958-08-01;--:--;      7.781;      7.781; 100
1958-09-01;--:--;     12.111;     12.111; 100
1958-10-01;--:--;      5.361;      5.361; 100
1958-11-01;--:--;      1.677;      1.677; 100
1958-12-01;--:--;      0.478;      0.478; 100
1959-01-01;--:--;      0.088;      0.088; 100
1959-02-01;--:--;      0.505;      0.505; 100
1959-03-01;--:--;      0.289;      0.289; 100
1959-04-01;--:--;      0.361;      0.361; 100
1959-05-01;--:--;     93.258;     93.258; 100
1959-06-01;--:--;     23.619;     23.619; 100
1959-07-01;--:--;      6.555;      6.555; 100
1959-08-01;--:--;     20.242;     20.242; 100
1959-09-01;--:--;     12.787;     12.787; 100
1959-10-01;--:--;     13.921;     13.909; 100
1959-11-01;--:--;      9.292;      9.268; 100
1959-12-01;--:--;      0.465;      0.465; 100
1960-01-01;--:--;      0.171;      0.171; 100
1960-02-01;--:--;      0.109;      0.109; 100
1960-03-01;--:--;      0.129;      0.129; 100
1960-04-01;--:--;      0.829;      0.829; 100
1960-05-01;--:--;      4.472;      4.472; 100
1960-06-01;--:--;     13.741;     13.741; 100
1960-07-01;--:--;      4.452;      4.452; 100
1960-08-01;--:--;      2.499;      2.499; 100
1960-09-01;--:--;      2.012;      2.012; 100
1960-10-01;--:--;      1.023;      1.023; 100
1960-11-01;--:--;      0.315;      0.315; 100
1960-12-01;--:--;      0.207;      0.207; 100
1961-01-01;--:--;      0.135;      0.135; 100
1961-02-01;--:--;   -999.000;   -999.000;  68
1961-03-01;--:--;      0.149;      0.149; 100
1961-04-01;--:--;      0.402;      0.402; 100
1961-05-01;--:--;      2.321;      2.321; 100
1961-06-01;--:--;     22.881;     22.880; 100
1961-07-01;--:--;      6.494;      6.494; 100
1961-08-01;--:--;     13.139;     13.137; 100
1961-09-01;--:--;     25.753;     25.749; 100
1961-10-01;--:--;      2.736;      2.736; 100
1961-11-01;--:--;      0.686;      0.686; 100
1961-12-01;--:--;      0.193;      0.193; 100
1962-01-01;--:--;      0.128;      0.127; 100
1962-02-01;--:--;      0.047;      0.044; 100
1962-03-01;--:--;      0.134;      0.134; 100
1962-04-01;--:--;      0.573;      0.573; 100
1962-05-01;--:--;      0.701;      0.701; 100
1962-06-01;--:--;     29.981;     29.976; 100
1962-07-01;--:--;     17.680;     17.678; 100
1962-08-01;--:--;     47.946;     47.944; 100
1962-09-01;--:--;     14.235;     14.233; 100
1962-10-01;--:--;     22.345;     22.334; 100
1962-11-01;--:--;      5.917;      5.916; 100
1962-12-01;--:--;      1.510;      1.509; 100
1963-01-01;--:--;      0.495;      0.495; 100
1963-02-01;--:--;      0.192;      0.192; 100
1963-03-01;--:--;      0.230;      0.230; 100
1963-04-01;--:--;      0.501;      0.501; 100
1963-05-01;--:--;      0.630;      0.630; 100
1963-06-01;--:--;      2.030;      2.030; 100
1963-07-01;--:--;      7.716;      7.715; 100
1963-08-01;--:--;   -999.000;   -999.000;  29
1963-09-01;--:--;   -999.000;   -999.000;   0
1963-10-01;--:--;   -999.000;      2.909;  71
1963-11-01;--:--;      1.952;      1.952; 100
1963-12-01;--:--;      0.912;      0.912; 100
1964-01-01;--:--;      0.242;      0.241; 100
1964-02-01;--:--;      0.238;      0.238; 100
1964-03-01;--:--;      0.215;      0.215; 100
1964-04-01;--:--;      0.395;      0.395; 100
1964-05-01;--:--;      0.923;      0.923; 100
1964-06-01;--:--;     11.901;     11.900; 100
1964-07-01;--:--;      5.218;      5.218; 100
1964-08-01;--:--;     10.769;     10.769; 100
1964-09-01;--:--;      7.460;      7.460; 100
1964-10-01;--:--;      2.969;      2.968; 100
1964-11-01;--:--;   -999.000;   -999.000;   3
1964-12-01;--:--;   -999.000;      0.302;  77
1965-01-01;--:--;   -999.000;      0.111;  71
1965-02-01;--:--;   -999.000;   -999.000;   0
1965-03-01;--:--;   -999.000;      2.136;  84
1965-04-01;--:--;   -999.000;   -999.000;  63
1965-05-01;--:--;      4.240;      4.229; 100
1965-06-01;--:--;      4.929;      4.919; 100
1965-07-01;--:--;      4.247;      4.177; 100
1965-08-01;--:--;      9.469;      9.461; 100
